================ Training Loss (Tue Jun  2 20:18:43 2020) ================
(epoch: 1, iters: 100, time: 0.044, data: 0.096) G_GAN: 2.048 G_L1: 18.049 D_real: 0.387 D_fake: 0.153 
(epoch: 1, iters: 200, time: 0.044, data: 0.001) G_GAN: 1.977 G_L1: 13.386 D_real: 0.587 D_fake: 0.211 
(epoch: 1, iters: 300, time: 0.042, data: 0.001) G_GAN: 1.089 G_L1: 14.991 D_real: 0.642 D_fake: 0.261 
(epoch: 1, iters: 400, time: 0.159, data: 0.001) G_GAN: 1.035 G_L1: 17.971 D_real: 0.467 D_fake: 0.584 
(epoch: 1, iters: 500, time: 0.046, data: 0.001) G_GAN: 0.968 G_L1: 15.646 D_real: 0.568 D_fake: 0.362 
(epoch: 1, iters: 600, time: 0.043, data: 0.001) G_GAN: 1.397 G_L1: 16.932 D_real: 1.103 D_fake: 0.213 
(epoch: 1, iters: 700, time: 0.043, data: 0.001) G_GAN: 1.385 G_L1: 13.962 D_real: 1.101 D_fake: 0.208 
(epoch: 1, iters: 800, time: 0.102, data: 0.001) G_GAN: 1.893 G_L1: 13.791 D_real: 0.137 D_fake: 1.349 
(epoch: 1, iters: 900, time: 0.042, data: 0.001) G_GAN: 1.413 G_L1: 15.882 D_real: 0.123 D_fake: 0.379 
(epoch: 1, iters: 1000, time: 0.043, data: 0.001) G_GAN: 1.069 G_L1: 13.927 D_real: 0.265 D_fake: 0.829 
(epoch: 1, iters: 1100, time: 0.045, data: 0.001) G_GAN: 1.658 G_L1: 15.466 D_real: 0.140 D_fake: 0.607 
(epoch: 1, iters: 1200, time: 0.105, data: 0.001) G_GAN: 1.427 G_L1: 18.275 D_real: 0.146 D_fake: 0.301 
(epoch: 1, iters: 1300, time: 0.044, data: 0.001) G_GAN: 1.233 G_L1: 13.342 D_real: 0.167 D_fake: 0.663 
(epoch: 1, iters: 1400, time: 0.044, data: 0.001) G_GAN: 1.719 G_L1: 8.892 D_real: 1.603 D_fake: 0.103 
(epoch: 1, iters: 1500, time: 0.046, data: 0.001) G_GAN: 0.830 G_L1: 9.519 D_real: 0.847 D_fake: 0.536 
(epoch: 1, iters: 1600, time: 0.102, data: 0.001) G_GAN: 0.920 G_L1: 14.106 D_real: 0.204 D_fake: 0.949 
(epoch: 2, iters: 100, time: 0.045, data: 0.094) G_GAN: 1.246 G_L1: 8.048 D_real: 1.548 D_fake: 0.233 
(epoch: 2, iters: 200, time: 0.044, data: 0.001) G_GAN: 1.196 G_L1: 10.743 D_real: 1.263 D_fake: 0.233 
(epoch: 2, iters: 300, time: 0.046, data: 0.001) G_GAN: 1.322 G_L1: 9.855 D_real: 1.299 D_fake: 0.269 
(epoch: 2, iters: 400, time: 0.172, data: 0.001) G_GAN: 0.864 G_L1: 9.450 D_real: 1.028 D_fake: 0.355 
(epoch: 2, iters: 500, time: 0.044, data: 0.001) G_GAN: 1.160 G_L1: 15.859 D_real: 0.646 D_fake: 0.311 
(epoch: 2, iters: 600, time: 0.048, data: 0.001) G_GAN: 1.504 G_L1: 18.158 D_real: 0.231 D_fake: 0.372 
(epoch: 2, iters: 700, time: 0.043, data: 0.001) G_GAN: 1.567 G_L1: 13.773 D_real: 0.326 D_fake: 0.251 
(epoch: 2, iters: 800, time: 0.100, data: 0.001) G_GAN: 1.155 G_L1: 13.874 D_real: 1.542 D_fake: 0.272 
(epoch: 2, iters: 900, time: 0.042, data: 0.001) G_GAN: 0.814 G_L1: 7.446 D_real: 0.938 D_fake: 0.485 
(epoch: 2, iters: 1000, time: 0.043, data: 0.001) G_GAN: 1.415 G_L1: 9.970 D_real: 1.400 D_fake: 0.268 
(epoch: 2, iters: 1100, time: 0.044, data: 0.001) G_GAN: 1.174 G_L1: 8.263 D_real: 0.726 D_fake: 0.290 
(epoch: 2, iters: 1200, time: 0.111, data: 0.001) G_GAN: 1.513 G_L1: 8.482 D_real: 1.415 D_fake: 0.159 
(epoch: 2, iters: 1300, time: 0.043, data: 0.001) G_GAN: 0.860 G_L1: 8.887 D_real: 0.616 D_fake: 0.682 
(epoch: 2, iters: 1400, time: 0.043, data: 0.001) G_GAN: 1.062 G_L1: 10.651 D_real: 0.409 D_fake: 0.394 
(epoch: 2, iters: 1500, time: 0.043, data: 0.001) G_GAN: 1.419 G_L1: 9.472 D_real: 0.138 D_fake: 0.661 
(epoch: 2, iters: 1600, time: 0.117, data: 0.001) G_GAN: 1.782 G_L1: 8.554 D_real: 1.642 D_fake: 0.176 
(epoch: 3, iters: 100, time: 0.048, data: 0.092) G_GAN: 1.384 G_L1: 7.973 D_real: 0.818 D_fake: 0.144 
(epoch: 3, iters: 200, time: 0.043, data: 0.001) G_GAN: 1.382 G_L1: 7.903 D_real: 1.051 D_fake: 0.223 
(epoch: 3, iters: 300, time: 0.045, data: 0.001) G_GAN: 0.901 G_L1: 10.125 D_real: 1.476 D_fake: 0.262 
(epoch: 3, iters: 400, time: 0.158, data: 0.001) G_GAN: 0.869 G_L1: 7.782 D_real: 0.916 D_fake: 0.372 
(epoch: 3, iters: 500, time: 0.043, data: 0.001) G_GAN: 1.024 G_L1: 16.280 D_real: 0.535 D_fake: 0.608 
(epoch: 3, iters: 600, time: 0.043, data: 0.001) G_GAN: 1.341 G_L1: 8.851 D_real: 2.005 D_fake: 0.137 
(epoch: 3, iters: 700, time: 0.045, data: 0.001) G_GAN: 1.611 G_L1: 12.356 D_real: 0.847 D_fake: 0.214 
(epoch: 3, iters: 800, time: 0.181, data: 0.001) G_GAN: 0.900 G_L1: 9.810 D_real: 0.425 D_fake: 0.757 
(epoch: 3, iters: 900, time: 0.044, data: 0.001) G_GAN: 1.417 G_L1: 7.743 D_real: 1.829 D_fake: 0.167 
(epoch: 3, iters: 1000, time: 0.047, data: 0.001) G_GAN: 1.878 G_L1: 16.567 D_real: 0.031 D_fake: 0.718 
(epoch: 3, iters: 1100, time: 0.042, data: 0.001) G_GAN: 0.996 G_L1: 10.392 D_real: 0.331 D_fake: 0.608 
(epoch: 3, iters: 1200, time: 0.120, data: 0.001) G_GAN: 1.295 G_L1: 9.748 D_real: 0.220 D_fake: 0.479 
(epoch: 3, iters: 1300, time: 0.044, data: 0.001) G_GAN: 0.528 G_L1: 8.206 D_real: 0.732 D_fake: 0.642 
(epoch: 3, iters: 1400, time: 0.043, data: 0.001) G_GAN: 1.300 G_L1: 12.187 D_real: 0.309 D_fake: 0.362 
(epoch: 3, iters: 1500, time: 0.046, data: 0.001) G_GAN: 1.354 G_L1: 7.697 D_real: 0.239 D_fake: 1.535 
(epoch: 3, iters: 1600, time: 0.106, data: 0.001) G_GAN: 0.795 G_L1: 10.432 D_real: 0.660 D_fake: 1.048 
(epoch: 4, iters: 100, time: 0.044, data: 0.098) G_GAN: 1.714 G_L1: 14.466 D_real: 0.042 D_fake: 0.506 
(epoch: 4, iters: 200, time: 0.042, data: 0.001) G_GAN: 1.796 G_L1: 17.062 D_real: 0.025 D_fake: 0.487 
(epoch: 4, iters: 300, time: 0.045, data: 0.001) G_GAN: 0.983 G_L1: 9.272 D_real: 0.439 D_fake: 0.500 
(epoch: 4, iters: 400, time: 0.173, data: 0.001) G_GAN: 1.266 G_L1: 11.887 D_real: 0.126 D_fake: 0.498 
(epoch: 4, iters: 500, time: 0.043, data: 0.001) G_GAN: 0.704 G_L1: 10.145 D_real: 0.789 D_fake: 0.717 
(epoch: 4, iters: 600, time: 0.047, data: 0.001) G_GAN: 1.497 G_L1: 10.555 D_real: 1.337 D_fake: 0.096 
(epoch: 4, iters: 700, time: 0.043, data: 0.001) G_GAN: 1.595 G_L1: 13.938 D_real: 0.316 D_fake: 0.357 
(epoch: 4, iters: 800, time: 0.110, data: 0.001) G_GAN: 0.682 G_L1: 6.392 D_real: 0.717 D_fake: 0.541 
(epoch: 4, iters: 900, time: 0.043, data: 0.001) G_GAN: 1.421 G_L1: 10.307 D_real: 0.433 D_fake: 0.347 
(epoch: 4, iters: 1000, time: 0.046, data: 0.001) G_GAN: 0.910 G_L1: 7.903 D_real: 0.774 D_fake: 0.574 
(epoch: 4, iters: 1100, time: 0.042, data: 0.001) G_GAN: 1.281 G_L1: 10.874 D_real: 0.330 D_fake: 0.376 
(epoch: 4, iters: 1200, time: 0.178, data: 0.001) G_GAN: 1.229 G_L1: 8.486 D_real: 0.683 D_fake: 0.309 
(epoch: 4, iters: 1300, time: 0.042, data: 0.001) G_GAN: 1.702 G_L1: 10.555 D_real: 0.161 D_fake: 0.383 
(epoch: 4, iters: 1400, time: 0.043, data: 0.001) G_GAN: 0.917 G_L1: 9.277 D_real: 1.797 D_fake: 0.204 
(epoch: 4, iters: 1500, time: 0.052, data: 0.001) G_GAN: 1.633 G_L1: 11.281 D_real: 0.120 D_fake: 0.626 
(epoch: 4, iters: 1600, time: 0.108, data: 0.001) G_GAN: 1.719 G_L1: 11.384 D_real: 0.174 D_fake: 0.342 
(epoch: 5, iters: 100, time: 0.041, data: 0.110) G_GAN: 1.027 G_L1: 6.689 D_real: 0.802 D_fake: 0.437 
(epoch: 5, iters: 200, time: 0.041, data: 0.001) G_GAN: 1.634 G_L1: 12.446 D_real: 0.072 D_fake: 0.580 
(epoch: 5, iters: 300, time: 0.043, data: 0.001) G_GAN: 1.210 G_L1: 10.572 D_real: 0.179 D_fake: 0.853 
(epoch: 5, iters: 400, time: 0.170, data: 0.001) G_GAN: 1.638 G_L1: 10.454 D_real: 0.109 D_fake: 0.595 
(epoch: 5, iters: 500, time: 0.043, data: 0.001) G_GAN: 1.776 G_L1: 10.271 D_real: 0.348 D_fake: 0.401 
(epoch: 5, iters: 600, time: 0.042, data: 0.001) G_GAN: 2.048 G_L1: 13.337 D_real: 0.127 D_fake: 0.244 
(epoch: 5, iters: 700, time: 0.042, data: 0.001) G_GAN: 1.373 G_L1: 6.689 D_real: 0.786 D_fake: 0.335 
(epoch: 5, iters: 800, time: 0.094, data: 0.001) G_GAN: 1.672 G_L1: 11.376 D_real: 0.283 D_fake: 0.529 
(epoch: 5, iters: 900, time: 0.043, data: 0.001) G_GAN: 1.376 G_L1: 8.847 D_real: 0.794 D_fake: 0.261 
(epoch: 5, iters: 1000, time: 0.044, data: 0.001) G_GAN: 1.608 G_L1: 12.949 D_real: 0.289 D_fake: 0.280 
(epoch: 5, iters: 1100, time: 0.043, data: 0.001) G_GAN: 2.149 G_L1: 14.620 D_real: 0.104 D_fake: 0.308 
(epoch: 5, iters: 1200, time: 0.102, data: 0.001) G_GAN: 1.205 G_L1: 10.183 D_real: 0.308 D_fake: 0.615 
(epoch: 5, iters: 1300, time: 0.042, data: 0.001) G_GAN: 1.249 G_L1: 8.625 D_real: 0.660 D_fake: 0.452 
(epoch: 5, iters: 1400, time: 0.043, data: 0.001) G_GAN: 1.399 G_L1: 9.294 D_real: 0.551 D_fake: 0.243 
(epoch: 5, iters: 1500, time: 0.042, data: 0.001) G_GAN: 1.458 G_L1: 8.059 D_real: 0.953 D_fake: 0.365 
(epoch: 5, iters: 1600, time: 0.189, data: 0.001) G_GAN: 2.009 G_L1: 7.953 D_real: 0.071 D_fake: 0.339 
(epoch: 6, iters: 100, time: 0.043, data: 0.109) G_GAN: 1.341 G_L1: 9.029 D_real: 0.652 D_fake: 0.343 
(epoch: 6, iters: 200, time: 0.041, data: 0.001) G_GAN: 1.353 G_L1: 7.449 D_real: 0.903 D_fake: 0.127 
(epoch: 6, iters: 300, time: 0.042, data: 0.001) G_GAN: 0.699 G_L1: 7.012 D_real: 0.475 D_fake: 0.654 
(epoch: 6, iters: 400, time: 0.185, data: 0.001) G_GAN: 1.585 G_L1: 8.404 D_real: 1.317 D_fake: 0.142 
(epoch: 6, iters: 500, time: 0.042, data: 0.001) G_GAN: 1.824 G_L1: 12.959 D_real: 0.173 D_fake: 0.373 
(epoch: 6, iters: 600, time: 0.043, data: 0.001) G_GAN: 0.756 G_L1: 8.770 D_real: 1.061 D_fake: 0.598 
(epoch: 6, iters: 700, time: 0.043, data: 0.001) G_GAN: 1.261 G_L1: 8.802 D_real: 1.077 D_fake: 0.291 
(epoch: 6, iters: 800, time: 0.110, data: 0.001) G_GAN: 1.133 G_L1: 9.249 D_real: 0.554 D_fake: 0.544 
