================ Training Loss (Wed Jun  3 10:59:34 2020) ================
(epoch: 3, iters: 1400, time: 0.043, data: 0.001) G_GAN: 1.422 G_L1: 12.308 D_real: 0.617 D_fake: 0.251 
(epoch: 3, iters: 1500, time: 0.043, data: 0.001) G_GAN: 0.923 G_L1: 7.952 D_real: 0.714 D_fake: 0.482 
(epoch: 3, iters: 1600, time: 0.102, data: 0.001) G_GAN: 1.184 G_L1: 8.311 D_real: 0.825 D_fake: 0.492 
(epoch: 4, iters: 100, time: 0.043, data: 0.087) G_GAN: 1.159 G_L1: 11.828 D_real: 0.732 D_fake: 0.341 
(epoch: 4, iters: 200, time: 0.044, data: 0.001) G_GAN: 1.180 G_L1: 11.321 D_real: 0.441 D_fake: 0.646 
(epoch: 4, iters: 300, time: 0.045, data: 0.001) G_GAN: 1.843 G_L1: 12.780 D_real: 0.054 D_fake: 1.118 
(epoch: 4, iters: 400, time: 0.169, data: 0.001) G_GAN: 1.607 G_L1: 13.603 D_real: 0.318 D_fake: 0.239 
(epoch: 4, iters: 500, time: 0.049, data: 0.001) G_GAN: 1.461 G_L1: 8.925 D_real: 0.757 D_fake: 0.213 
(epoch: 4, iters: 600, time: 0.045, data: 0.001) G_GAN: 1.750 G_L1: 9.250 D_real: 0.152 D_fake: 0.228 
(epoch: 4, iters: 700, time: 0.047, data: 0.001) G_GAN: 1.108 G_L1: 9.759 D_real: 0.528 D_fake: 0.303 
(epoch: 4, iters: 800, time: 0.105, data: 0.001) G_GAN: 0.961 G_L1: 8.104 D_real: 0.598 D_fake: 0.569 
(epoch: 4, iters: 900, time: 0.043, data: 0.001) G_GAN: 1.368 G_L1: 10.235 D_real: 0.386 D_fake: 0.402 
(epoch: 4, iters: 1000, time: 0.043, data: 0.001) G_GAN: 1.589 G_L1: 15.915 D_real: 0.014 D_fake: 0.644 
(epoch: 4, iters: 1100, time: 0.043, data: 0.001) G_GAN: 1.364 G_L1: 9.290 D_real: 0.732 D_fake: 0.387 
(epoch: 4, iters: 1200, time: 0.179, data: 0.001) G_GAN: 1.251 G_L1: 10.573 D_real: 0.491 D_fake: 0.372 
(epoch: 4, iters: 1300, time: 0.040, data: 0.001) G_GAN: 0.872 G_L1: 9.615 D_real: 0.633 D_fake: 0.460 
(epoch: 4, iters: 1400, time: 0.043, data: 0.001) G_GAN: 1.436 G_L1: 10.504 D_real: 0.262 D_fake: 0.597 
(epoch: 4, iters: 1500, time: 0.043, data: 0.001) G_GAN: 1.630 G_L1: 12.530 D_real: 0.077 D_fake: 0.410 
(epoch: 4, iters: 1600, time: 0.102, data: 0.001) G_GAN: 0.996 G_L1: 12.076 D_real: 0.441 D_fake: 0.584 
(epoch: 5, iters: 100, time: 0.043, data: 0.102) G_GAN: 0.760 G_L1: 6.455 D_real: 0.446 D_fake: 1.010 
(epoch: 5, iters: 200, time: 0.043, data: 0.001) G_GAN: 1.465 G_L1: 9.768 D_real: 0.471 D_fake: 0.206 
(epoch: 5, iters: 300, time: 0.043, data: 0.001) G_GAN: 1.118 G_L1: 9.982 D_real: 0.437 D_fake: 0.338 
(epoch: 5, iters: 400, time: 0.184, data: 0.001) G_GAN: 1.323 G_L1: 6.389 D_real: 0.667 D_fake: 0.405 
(epoch: 5, iters: 500, time: 0.043, data: 0.001) G_GAN: 1.060 G_L1: 4.970 D_real: 1.536 D_fake: 0.226 
(epoch: 5, iters: 600, time: 0.043, data: 0.001) G_GAN: 1.946 G_L1: 10.679 D_real: 0.238 D_fake: 0.184 
(epoch: 5, iters: 700, time: 0.043, data: 0.001) G_GAN: 1.336 G_L1: 11.008 D_real: 0.480 D_fake: 0.506 
(epoch: 5, iters: 800, time: 0.110, data: 0.001) G_GAN: 1.556 G_L1: 4.898 D_real: 0.244 D_fake: 1.139 
(epoch: 5, iters: 900, time: 0.043, data: 0.001) G_GAN: 1.144 G_L1: 7.839 D_real: 0.534 D_fake: 0.578 
(epoch: 5, iters: 1000, time: 0.045, data: 0.001) G_GAN: 1.097 G_L1: 6.144 D_real: 0.387 D_fake: 0.499 
(epoch: 5, iters: 1100, time: 0.043, data: 0.001) G_GAN: 1.367 G_L1: 8.880 D_real: 0.931 D_fake: 0.414 
(epoch: 5, iters: 1200, time: 0.103, data: 0.001) G_GAN: 1.022 G_L1: 7.915 D_real: 0.629 D_fake: 0.479 
(epoch: 5, iters: 1300, time: 0.044, data: 0.001) G_GAN: 1.660 G_L1: 8.991 D_real: 0.715 D_fake: 0.190 
(epoch: 5, iters: 1400, time: 0.042, data: 0.001) G_GAN: 1.596 G_L1: 16.383 D_real: 0.224 D_fake: 0.802 
(epoch: 5, iters: 1500, time: 0.044, data: 0.001) G_GAN: 1.753 G_L1: 9.075 D_real: 0.132 D_fake: 0.622 
(epoch: 5, iters: 1600, time: 0.188, data: 0.001) G_GAN: 0.778 G_L1: 6.313 D_real: 0.680 D_fake: 0.327 
(epoch: 6, iters: 100, time: 0.047, data: 0.098) G_GAN: 1.956 G_L1: 8.994 D_real: 0.061 D_fake: 0.757 
(epoch: 6, iters: 200, time: 0.049, data: 0.001) G_GAN: 0.999 G_L1: 9.569 D_real: 0.520 D_fake: 0.363 
(epoch: 6, iters: 300, time: 0.045, data: 0.001) G_GAN: 1.379 G_L1: 8.546 D_real: 0.530 D_fake: 0.218 
(epoch: 6, iters: 400, time: 0.180, data: 0.001) G_GAN: 1.331 G_L1: 8.248 D_real: 0.401 D_fake: 0.371 
(epoch: 6, iters: 500, time: 0.045, data: 0.001) G_GAN: 1.698 G_L1: 5.386 D_real: 0.199 D_fake: 0.545 
(epoch: 6, iters: 600, time: 0.045, data: 0.001) G_GAN: 1.724 G_L1: 6.586 D_real: 0.167 D_fake: 0.678 
(epoch: 6, iters: 700, time: 0.046, data: 0.001) G_GAN: 0.964 G_L1: 8.130 D_real: 0.941 D_fake: 0.222 
(epoch: 6, iters: 800, time: 0.110, data: 0.001) G_GAN: 1.007 G_L1: 5.768 D_real: 0.545 D_fake: 0.502 
(epoch: 6, iters: 900, time: 0.045, data: 0.001) G_GAN: 1.923 G_L1: 13.737 D_real: 0.056 D_fake: 0.260 
(epoch: 6, iters: 1000, time: 0.046, data: 0.001) G_GAN: 1.486 G_L1: 17.443 D_real: 0.007 D_fake: 1.061 
(epoch: 6, iters: 1100, time: 0.044, data: 0.001) G_GAN: 0.688 G_L1: 8.307 D_real: 0.726 D_fake: 0.484 
(epoch: 6, iters: 1200, time: 0.112, data: 0.001) G_GAN: 2.012 G_L1: 8.847 D_real: 0.154 D_fake: 0.363 
(epoch: 6, iters: 1300, time: 0.046, data: 0.001) G_GAN: 2.000 G_L1: 11.960 D_real: 0.026 D_fake: 0.422 
(epoch: 6, iters: 1400, time: 0.048, data: 0.001) G_GAN: 1.769 G_L1: 8.926 D_real: 0.065 D_fake: 1.317 
(epoch: 6, iters: 1500, time: 0.048, data: 0.001) G_GAN: 1.425 G_L1: 9.964 D_real: 0.450 D_fake: 0.548 
(epoch: 6, iters: 1600, time: 0.108, data: 0.001) G_GAN: 1.882 G_L1: 9.114 D_real: 0.396 D_fake: 0.230 
(epoch: 7, iters: 100, time: 0.046, data: 0.092) G_GAN: 1.792 G_L1: 7.543 D_real: 0.205 D_fake: 0.347 
(epoch: 7, iters: 200, time: 0.046, data: 0.001) G_GAN: 1.351 G_L1: 6.266 D_real: 0.178 D_fake: 1.203 
(epoch: 7, iters: 300, time: 0.047, data: 0.001) G_GAN: 0.988 G_L1: 10.683 D_real: 0.469 D_fake: 0.599 
(epoch: 7, iters: 400, time: 0.178, data: 0.001) G_GAN: 0.867 G_L1: 10.784 D_real: 0.477 D_fake: 0.590 
(epoch: 7, iters: 500, time: 0.049, data: 0.001) G_GAN: 1.975 G_L1: 10.481 D_real: 0.272 D_fake: 0.354 
(epoch: 7, iters: 600, time: 0.047, data: 0.001) G_GAN: 1.432 G_L1: 10.435 D_real: 0.385 D_fake: 0.460 
(epoch: 7, iters: 700, time: 0.047, data: 0.001) G_GAN: 2.015 G_L1: 8.734 D_real: 0.058 D_fake: 0.761 
(epoch: 7, iters: 800, time: 0.118, data: 0.001) G_GAN: 0.925 G_L1: 10.076 D_real: 0.889 D_fake: 0.669 
(epoch: 7, iters: 900, time: 0.047, data: 0.001) G_GAN: 1.499 G_L1: 8.489 D_real: 0.690 D_fake: 0.176 
(epoch: 7, iters: 1000, time: 0.048, data: 0.001) G_GAN: 1.052 G_L1: 8.004 D_real: 0.269 D_fake: 0.673 
(epoch: 7, iters: 1100, time: 0.050, data: 0.001) G_GAN: 2.228 G_L1: 9.500 D_real: 0.255 D_fake: 0.602 
(epoch: 7, iters: 1200, time: 0.125, data: 0.001) G_GAN: 1.120 G_L1: 7.328 D_real: 0.499 D_fake: 0.882 
(epoch: 7, iters: 1300, time: 0.045, data: 0.001) G_GAN: 1.216 G_L1: 5.959 D_real: 1.249 D_fake: 0.213 
(epoch: 7, iters: 1400, time: 0.048, data: 0.001) G_GAN: 2.789 G_L1: 6.216 D_real: 1.808 D_fake: 0.045 
(epoch: 7, iters: 1500, time: 0.049, data: 0.001) G_GAN: 1.227 G_L1: 4.843 D_real: 0.717 D_fake: 0.286 
(epoch: 7, iters: 1600, time: 0.113, data: 0.001) G_GAN: 1.911 G_L1: 10.564 D_real: 0.149 D_fake: 0.274 
(epoch: 8, iters: 100, time: 0.051, data: 0.095) G_GAN: 1.326 G_L1: 5.053 D_real: 0.344 D_fake: 0.895 
(epoch: 8, iters: 200, time: 0.047, data: 0.001) G_GAN: 2.140 G_L1: 10.035 D_real: 1.255 D_fake: 0.082 
(epoch: 8, iters: 300, time: 0.048, data: 0.001) G_GAN: 0.839 G_L1: 6.388 D_real: 0.693 D_fake: 0.252 
(epoch: 8, iters: 400, time: 0.182, data: 0.001) G_GAN: 1.350 G_L1: 10.560 D_real: 0.395 D_fake: 0.248 
(epoch: 8, iters: 500, time: 0.048, data: 0.001) G_GAN: 0.717 G_L1: 6.268 D_real: 1.270 D_fake: 0.299 
(epoch: 8, iters: 600, time: 0.049, data: 0.001) G_GAN: 1.604 G_L1: 7.925 D_real: 0.228 D_fake: 0.497 
(epoch: 8, iters: 700, time: 0.049, data: 0.001) G_GAN: 1.559 G_L1: 8.810 D_real: 0.362 D_fake: 0.790 
(epoch: 8, iters: 800, time: 0.204, data: 0.001) G_GAN: 1.384 G_L1: 6.910 D_real: 0.279 D_fake: 0.546 
(epoch: 8, iters: 900, time: 0.044, data: 0.001) G_GAN: 1.418 G_L1: 8.478 D_real: 0.293 D_fake: 0.453 
(epoch: 8, iters: 1000, time: 0.046, data: 0.001) G_GAN: 1.476 G_L1: 8.351 D_real: 0.523 D_fake: 0.346 
(epoch: 8, iters: 1100, time: 0.049, data: 0.001) G_GAN: 1.178 G_L1: 9.389 D_real: 0.271 D_fake: 0.589 
(epoch: 8, iters: 1200, time: 0.111, data: 0.001) G_GAN: 2.162 G_L1: 9.174 D_real: 0.263 D_fake: 0.137 
(epoch: 8, iters: 1300, time: 0.049, data: 0.001) G_GAN: 1.372 G_L1: 7.749 D_real: 0.365 D_fake: 0.516 
(epoch: 8, iters: 1400, time: 0.050, data: 0.001) G_GAN: 1.960 G_L1: 9.242 D_real: 0.121 D_fake: 0.397 
(epoch: 8, iters: 1500, time: 0.048, data: 0.001) G_GAN: 2.326 G_L1: 11.870 D_real: 0.079 D_fake: 0.173 
(epoch: 8, iters: 1600, time: 0.112, data: 0.001) G_GAN: 1.293 G_L1: 8.724 D_real: 0.111 D_fake: 0.701 
(epoch: 9, iters: 100, time: 0.049, data: 0.097) G_GAN: 1.104 G_L1: 9.525 D_real: 0.581 D_fake: 0.544 
(epoch: 9, iters: 200, time: 0.047, data: 0.001) G_GAN: 1.022 G_L1: 9.887 D_real: 0.547 D_fake: 0.328 
(epoch: 9, iters: 300, time: 0.049, data: 0.001) G_GAN: 2.606 G_L1: 14.439 D_real: 0.046 D_fake: 0.648 
(epoch: 9, iters: 400, time: 0.187, data: 0.001) G_GAN: 3.258 G_L1: 9.812 D_real: 0.024 D_fake: 0.071 
(epoch: 9, iters: 500, time: 0.050, data: 0.001) G_GAN: 1.452 G_L1: 7.895 D_real: 0.269 D_fake: 0.332 
(epoch: 9, iters: 600, time: 0.050, data: 0.001) G_GAN: 2.100 G_L1: 11.031 D_real: 0.184 D_fake: 0.109 
(epoch: 9, iters: 700, time: 0.048, data: 0.001) G_GAN: 2.257 G_L1: 16.782 D_real: 0.186 D_fake: 0.096 
(epoch: 9, iters: 800, time: 0.121, data: 0.001) G_GAN: 0.916 G_L1: 5.861 D_real: 0.904 D_fake: 0.141 
(epoch: 9, iters: 900, time: 0.049, data: 0.001) G_GAN: 1.447 G_L1: 12.193 D_real: 0.102 D_fake: 0.745 
(epoch: 9, iters: 1000, time: 0.049, data: 0.001) G_GAN: 0.513 G_L1: 5.528 D_real: 2.439 D_fake: 0.192 
(epoch: 9, iters: 1100, time: 0.048, data: 0.001) G_GAN: 1.750 G_L1: 9.091 D_real: 0.162 D_fake: 0.984 
(epoch: 9, iters: 1200, time: 0.200, data: 0.001) G_GAN: 1.626 G_L1: 9.213 D_real: 0.226 D_fake: 0.572 
(epoch: 9, iters: 1300, time: 0.047, data: 0.001) G_GAN: 2.290 G_L1: 8.509 D_real: 0.236 D_fake: 0.227 
(epoch: 9, iters: 1400, time: 0.047, data: 0.001) G_GAN: 1.209 G_L1: 8.070 D_real: 0.639 D_fake: 0.240 
(epoch: 9, iters: 1500, time: 0.049, data: 0.001) G_GAN: 1.637 G_L1: 10.606 D_real: 0.429 D_fake: 0.172 
(epoch: 9, iters: 1600, time: 0.113, data: 0.001) G_GAN: 3.002 G_L1: 17.124 D_real: 0.045 D_fake: 0.118 
(epoch: 10, iters: 100, time: 0.049, data: 0.096) G_GAN: 0.112 G_L1: 6.028 D_real: 1.262 D_fake: 0.153 
(epoch: 10, iters: 200, time: 0.048, data: 0.001) G_GAN: 1.691 G_L1: 8.426 D_real: 0.816 D_fake: 0.178 
(epoch: 10, iters: 300, time: 0.046, data: 0.001) G_GAN: 1.985 G_L1: 10.109 D_real: 0.253 D_fake: 0.561 
(epoch: 10, iters: 400, time: 0.198, data: 0.001) G_GAN: 2.333 G_L1: 5.951 D_real: 0.202 D_fake: 0.240 
(epoch: 10, iters: 500, time: 0.047, data: 0.001) G_GAN: 2.195 G_L1: 8.206 D_real: 0.348 D_fake: 0.238 
(epoch: 10, iters: 600, time: 0.047, data: 0.001) G_GAN: 1.603 G_L1: 7.117 D_real: 1.268 D_fake: 0.096 
(epoch: 10, iters: 700, time: 0.048, data: 0.001) G_GAN: 1.979 G_L1: 6.300 D_real: 0.412 D_fake: 0.285 
(epoch: 10, iters: 800, time: 0.114, data: 0.001) G_GAN: 2.509 G_L1: 9.689 D_real: 0.013 D_fake: 0.651 
(epoch: 10, iters: 900, time: 0.049, data: 0.001) G_GAN: 2.357 G_L1: 7.532 D_real: 0.633 D_fake: 0.134 
(epoch: 10, iters: 1000, time: 0.049, data: 0.001) G_GAN: 1.631 G_L1: 6.237 D_real: 0.960 D_fake: 0.339 
(epoch: 10, iters: 1100, time: 0.049, data: 0.001) G_GAN: 2.441 G_L1: 9.548 D_real: 0.139 D_fake: 0.331 
